House_ID,Area,Bedrooms,Bathrooms,Floors,Age,Parking,Location,Furnished,Price
69,1036,2,1,1,14,1,Kolhapur,Semi-Furnished,105.22
70,505,1,1,2,26,1,Satara,Unfurnished,42.36
71,1717,3,2,1,17,1,Sangli,Furnished,160.77
72,1276,2,2,1,29,0,Ahmednagar,Unfurnished,77.62
73,1717,3,2,2,16,1,Pune,Unfurnished,200.72
74,1487,3,3,4,17,1,Amravati,Semi-Furnished,129.97
75,1013,2,2,1,1,3,Beed,Unfurnished,99.7
76,927,2,1,3,14,1,Mumbai,Furnished,233.09
77,673,2,1,2,11,0,Nagpur,Furnished,108.69
78,1267,2,1,1,7,1,Solapur,Unfurnished,125.83
79,670,1,1,1,17,2,Amravati,Unfurnished,66.83
80,1391,3,2,2,6,2,Kolhapur,Furnished,157.19
81,1093,2,1,1,20,1,Kolhapur,Furnished,119.43
82,1499,3,2,1,19,0,Sangli,Furnished,144.85
83,1767,3,2,1,16,1,Nanded,Semi-Furnished,129.99
84,953,2,1,2,23,2,Nanded,Semi-Furnished,98.28
85,563,1,1,4,14,0,Pune,Semi-Furnished,133.97
86,1124,2,2,4,22,2,Beed,Semi-Furnished,105.99
87,617,1,1,1,4,1,Latur,Semi-Furnished,92.21
88,1468,3,2,1,22,2,Ahmednagar,Unfurnished,121.47
89,1017,3,2,2,23,0,Nanded,Semi-Furnished,95.98
90,1325,2,1,1,29,1,Mumbai,Furnished,237.22
91,768,2,2,3,10,3,Satara,Furnished,121.24
92,953,2,1,1,1,1,Ahmednagar,Furnished,129.17
93,1081,1,1,2,23,2,Kolhapur,Semi-Furnished,101.34
94,1756,3,3,4,11,0,Sangli,Semi-Furnished,160.67
95,463,1,1,2,25,2,Pune,Furnished,147.19
96,1713,3,3,2,12,2,Nashik,Unfurnished,168.54
97,1476,3,3,2,5,0,Ahmednagar,Furnished,144.16
98,1537,3,3,2,6,0,Solapur,Unfurnished,124.2
99,1588,2,1,3,5,0,Sangli,Unfurnished,124.13
100,1070,2,1,2,21,1,Aurangabad,Unfurnished,102.11
101,998,2,2,1,10,1,Latur,Furnished,95.29
102,698,1,1,3,28,0,Nagpur,Furnished,77.77
103,1149,2,2,2,26,2,Nanded,Semi-Furnished,90.69
104,1538,2,2,2,7,0,Mumbai,Unfurnished,268.58
105,1456,3,2,1,20,2,Nanded,Semi-Furnished,99.23
106,1522,3,2,2,20,1,Satara,Furnished,122.25
107,1046,1,1,1,12,3,Latur,Unfurnished,88.31
108,1077,2,1,1,1,2,Jalgaon,Furnished,130.09
109,2058,4,4,1,22,2,Kolhapur,Furnished,171.73
110,1637,3,3,1,26,1,Jalgaon,Semi-Furnished,135.29
111,1430,4,4,1,21,2,Beed,Semi-Furnished,118.54
112,1418,3,2,2,21,0,Aurangabad,Semi-Furnished,144.23
113,1023,2,1,1,11,0,Nashik,Furnished,143.18
114,1590,3,2,2,3,2,Latur,Unfurnished,147.43
115,947,1,1,1,25,2,Jalgaon,Unfurnished,86.07
116,1777,3,2,2,19,1,Latur,Semi-Furnished,138.27
117,1257,2,1,2,22,1,Aurangabad,Unfurnished,116.92
118,1027,3,3,1,21,0,Mumbai,Unfurnished,228.76
119,1568,3,2,3,5,0,Aurangabad,Unfurnished,143.07
120,1273,2,1,1,0,1,Ahmednagar,Unfurnished,132.02
121,1280,3,2,2,22,1,Nanded,Unfurnished,105.24
122,775,2,1,1,14,0,Pune,Semi-Furnished,154.12
123,1332,3,3,1,24,2,Amravati,Semi-Furnished,117.34
124,910,1,1,4,12,2,Pune,Furnished,185.67
125,1655,3,3,1,12,1,Kolhapur,Semi-Furnished,126.94
126,510,1,1,2,2,0,Aurangabad,Unfurnished,66.75
127,1251,3,2,4,1,1,Amravati,Semi-Furnished,132.3
128,2347,5,5,2,10,0,Beed,Unfurnished,133.37
129,1308,3,2,1,12,0,Jalgaon,Unfurnished,98.12
130,753,3,2,2,1,0,Beed,Semi-Furnished,85.48
131,1398,3,2,1,16,1,Beed,Furnished,113.55
132,1278,2,1,3,14,1,Amravati,Furnished,145.38
133,864,1,1,3,6,1,Amravati,Semi-Furnished,97.9
134,919,3,2,1,2,1,Pune,Unfurnished,158.27
135,1054,2,1,2,9,1,Latur,Semi-Furnished,107.24
136,1009,2,1,2,3,0,Amravati,Semi-Furnished,98.67
137,1807,3,3,1,20,0,Nagpur,Semi-Furnished,148.28
138,1164,3,2,1,11,0,Pune,Furnished,196.15
139,838,2,1,2,16,0,Solapur,Furnished,86.48
140,1605,4,3,2,0,1,Latur,Unfurnished,127.33
141,896,1,1,3,8,2,Solapur,Furnished,115.7
142,1880,3,3,1,17,2,Jalgaon,Semi-Furnished,140.67
143,1171,2,1,2,17,3,Latur,Semi-Furnished,100.1
144,1669,3,2,1,1,1,Nashik,Unfurnished,171.64
145,1279,1,1,1,5,0,Jalgaon,Unfurnished,114.5
146,450,1,1,1,23,0,Pune,Semi-Furnished,124.95
147,973,2,2,1,3,1,Jalgaon,Unfurnished,99.71
148,1441,2,1,2,13,0,Pune,Semi-Furnished,199.27
149,1073,2,1,3,25,0,Latur,Semi-Furnished,74.77
150,1480,3,2,2,30,1,Aurangabad,Unfurnished,124.25
151,1741,3,2,3,9,3,Jalgaon,Semi-Furnished,148.79
152,1664,2,1,1,16,0,Nanded,Semi-Furnished,113.6
153,978,2,1,2,0,0,Mumbai,Unfurnished,230.09
154,1834,3,2,3,7,0,Latur,Unfurnished,114.97
155,942,2,2,2,2,0,Beed,Semi-Furnished,89.84
156,1267,2,1,1,12,2,Pune,Semi-Furnished,179.44
157,876,2,1,2,25,2,Sangli,Unfurnished,75.84
158,1660,3,3,2,7,2,Latur,Unfurnished,136.05
159,1207,2,2,3,30,1,Satara,Semi-Furnished,114.61
160,1895,4,4,2,4,0,Kolhapur,Semi-Furnished,159.7
161,1090,2,1,3,1,0,Aurangabad,Semi-Furnished,123.68
162,750,2,2,3,11,1,Ahmednagar,Furnished,116.0
163,1202,3,2,1,14,1,Nashik,Furnished,162.28
164,912,1,1,3,28,1,Aurangabad,Semi-Furnished,87.8
165,2380,4,3,1,18,1,Latur,Unfurnished,168.29
166,1556,2,1,2,17,1,Nashik,Furnished,166.9
167,789,2,1,3,26,3,Kolhapur,Unfurnished,102.01
168,865,1,1,1,20,0,Latur,Furnished,81.78
169,450,1,1,2,25,0,Aurangabad,Semi-Furnished,75.68
170,1600,3,2,3,24,1,Kolhapur,Unfurnished,126.27
171,1648,3,3,1,30,1,Nashik,Unfurnished,147.23
172,741,1,1,2,10,3,Mumbai,Semi-Furnished,235.09
173,873,2,1,1,20,1,Amravati,Unfurnished,79.23
174,1047,2,1,2,10,0,Solapur,Semi-Furnished,100.76
175,1143,3,2,2,24,1,Kolhapur,Semi-Furnished,118.23
176,922,2,2,2,6,2,Jalgaon,Furnished,101.87
177,1118,1,1,3,30,1,Beed,Semi-Furnished,72.68
178,1793,3,3,4,23,0,Solapur,Unfurnished,142.41
179,1784,4,3,3,7,1,Aurangabad,Semi-Furnished,167.04
180,1127,2,2,2,10,0,Nanded,Furnished,113.38
181,1260,3,3,2,22,0,Satara,Semi-Furnished,120.01
182,902,3,3,1,4,1,Nashik,Unfurnished,133.67
183,1113,1,1,2,20,0,Jalgaon,Furnished,100.67
184,1114,2,1,1,14,0,Amravati,Semi-Furnished,93.98
185,1203,3,3,2,19,1,Mumbai,Semi-Furnished,251.25
186,797,1,1,2,24,0,Mumbai,Semi-Furnished,219.13
187,1481,3,3,3,2,0,Aurangabad,Furnished,149.46
188,607,1,1,4,13,1,Latur,Semi-Furnished,77.7
189,1054,2,2,2,8,3,Kolhapur,Semi-Furnished,116.02
190,1132,2,1,1,23,0,Aurangabad,Furnished,106.74
191,1677,4,4,1,22,2,Latur,Semi-Furnished,146.5
192,1636,3,3,2,8,3,Nagpur,Semi-Furnished,153.81
193,745,1,1,1,21,2,Jalgaon,Semi-Furnished,72.53
194,870,1,1,1,5,0,Ahmednagar,Unfurnished,68.32
195,1162,2,1,2,12,1,Amravati,Semi-Furnished,100.47
196,1253,2,1,2,29,1,Latur,Unfurnished,101.28
197,1106,2,1,3,12,1,Mumbai,Semi-Furnished,268.29
198,930,2,1,1,12,3,Sangli,Semi-Furnished,115.25
199,931,2,1,2,17,0,Nagpur,Semi-Furnished,96.38
200,846,2,2,1,10,1,Satara,Unfurnished,94.19
201,974,2,2,1,15,3,Nashik,Semi-Furnished,125.26
202,581,2,2,2,2,0,Sangli,Semi-Furnished,95.03
203,1487,3,3,3,30,0,Jalgaon,Furnished,108.78
204,1094,1,1,1,23,2,Sangli,Semi-Furnished,96.07
205,1182,2,1,2,4,2,Beed,Semi-Furnished,99.65
206,1438,2,1,2,9,1,Ahmednagar,Unfurnished,117.08
207,1563,3,2,3,16,0,Amravati,Semi-Furnished,116.23
208,1428,3,3,2,9,2,Ahmednagar,Semi-Furnished,138.38
209,450,1,1,1,2,0,Nanded,Furnished,63.6
210,1727,4,3,2,27,3,Kolhapur,Semi-Furnished,166.68
211,1087,2,2,1,13,0,Beed,Furnished,104.58
212,1094,1,1,1,23,1,Kolhapur,Furnished,119.62
213,1225,2,2,3,3,3,Aurangabad,Unfurnished,133.22
214,764,2,1,3,15,2,Nashik,Furnished,103.93
215,1765,3,2,1,24,2,Aurangabad,Furnished,144.53
216,1089,2,2,3,8,3,Aurangabad,Semi-Furnished,128.26
217,2199,4,3,2,12,2,Latur,Unfurnished,165.49
218,1287,3,2,3,2,2,Pune,Furnished,218.97
219,585,1,1,1,18,1,Mumbai,Furnished,234.44
220,1807,3,2,1,20,2,Nagpur,Unfurnished,181.21
221,1500,3,2,2,24,0,Solapur,Semi-Furnished,105.79
222,1319,1,1,1,27,0,Pune,Semi-Furnished,164.06
223,1636,3,3,2,5,1,Jalgaon,Unfurnished,153.99
224,652,1,1,3,4,3,Sangli,Unfurnished,100.76
225,1248,2,1,3,2,1,Amravati,Semi-Furnished,112.27
226,1903,4,3,3,21,1,Ahmednagar,Semi-Furnished,147.67
227,1312,2,1,2,20,0,Sangli,Semi-Furnished,88.18
228,1303,2,2,3,16,0,Aurangabad,Semi-Furnished,131.49
229,1135,2,2,3,25,1,Mumbai,Semi-Furnished,253.85
230,1258,2,1,1,4,0,Nanded,Unfurnished,102.52
231,1532,2,1,2,20,3,Amravati,Furnished,125.37
232,828,2,2,2,12,1,Nagpur,Unfurnished,118.06
233,2206,4,3,2,21,0,Aurangabad,Unfurnished,167.93
234,1500,3,2,2,0,0,Ahmednagar,Furnished,137.34
235,1324,2,2,3,19,1,Beed,Unfurnished,107.95
236,518,1,1,3,13,1,Aurangabad,Unfurnished,81.68
237,1385,3,2,4,17,1,Jalgaon,Furnished,125.61
238,1399,3,2,1,17,1,Nanded,Furnished,133.63
239,1486,3,3,2,9,1,Nanded,Unfurnished,130.21
240,708,1,1,3,27,1,Kolhapur,Semi-Furnished,89.4
241,1874,3,2,1,28,1,Pune,Unfurnished,188.98
242,528,1,1,4,28,1,Aurangabad,Semi-Furnished,71.57
243,1469,3,2,4,21,1,Ahmednagar,Furnished,138.23
244,2435,4,3,3,25,2,Amravati,Semi-Furnished,178.27
245,862,1,1,1,13,0,Ahmednagar,Unfurnished,93.99
246,1084,2,2,2,16,1,Sangli,Semi-Furnished,109.41
247,2340,5,4,1,24,1,Latur,Semi-Furnished,167.71
248,1619,3,3,3,15,1,Aurangabad,Semi-Furnished,174.27
249,1567,2,1,1,15,0,Solapur,Semi-Furnished,130.7
250,1880,3,2,4,14,2,Nanded,Semi-Furnished,169.77
251,707,1,1,1,5,3,Satara,Furnished,108.59
252,1600,3,2,1,25,0,Jalgaon,Furnished,145.94
253,1070,2,2,2,1,1,Nashik,Semi-Furnished,161.3
254,1267,3,3,2,11,0,Kolhapur,Furnished,137.96
255,1441,3,3,4,18,0,Solapur,Semi-Furnished,108.14
256,754,2,1,3,4,0,Nanded,Furnished,88.99
257,1020,2,1,2,0,2,Nashik,Unfurnished,134.45
258,1012,2,2,1,25,0,Pune,Semi-Furnished,163.42
259,1293,2,1,2,1,1,Satara,Unfurnished,125.82
260,1329,3,2,1,1,0,Ahmednagar,Unfurnished,121.32
261,2126,4,3,2,26,3,Amravati,Unfurnished,174.27
262,1374,2,1,2,12,1,Kolhapur,Semi-Furnished,151.7
263,1891,4,3,2,9,0,Ahmednagar,Semi-Furnished,142.86
264,1621,3,2,4,27,2,Beed,Semi-Furnished,121.24
265,1216,2,1,1,1,0,Solapur,Semi-Furnished,115.17
266,1357,3,3,3,12,1,Solapur,Semi-Furnished,129.37
267,1166,2,2,2,24,0,Sangli,Furnished,127.11
268,1143,2,1,2,4,1,Nanded,Semi-Furnished,127.75
269,1261,1,1,2,3,0,Ahmednagar,Unfurnished,116.55
270,1178,2,2,3,19,1,Aurangabad,Unfurnished,115.01
271,450,1,1,3,24,1,Amravati,Furnished,57.74
272,898,2,1,3,6,0,Mumbai,Furnished,248.39
273,450,1,1,1,14,1,Solapur,Semi-Furnished,72.04
274,1663,3,2,2,9,1,Pune,Semi-Furnished,200.06
275,612,1,1,2,18,0,Amravati,Semi-Furnished,80.65
276,1023,3,3,1,17,0,Mumbai,Semi-Furnished,243.21
277,1363,2,1,1,23,1,Beed,Semi-Furnished,83.89
278,1366,3,3,2,28,2,Mumbai,Unfurnished,263.97
279,1728,3,2,1,21,1,Mumbai,Unfurnished,278.62
280,1221,2,1,2,14,2,Latur,Semi-Furnished,94.12
281,912,2,2,2,22,1,Ahmednagar,Semi-Furnished,90.79
282,2199,4,3,1,3,2,Jalgaon,Furnished,197.48
283,889,2,2,1,5,3,Mumbai,Semi-Furnished,247.92
284,1429,3,2,2,24,0,Amravati,Unfurnished,103.81
285,1420,3,2,1,18,3,Jalgaon,Semi-Furnished,112.68
286,1747,3,2,2,6,0,Ahmednagar,Semi-Furnished,163.76
287,1582,3,2,1,4,0,Solapur,Unfurnished,134.91
288,1280,2,1,2,30,3,Pune,Semi-Furnished,185.14
289,1521,3,2,2,30,0,Nagpur,Semi-Furnished,132.27
290,981,1,1,2,25,1,Nanded,Furnished,99.85
291,1855,4,4,1,24,0,Ahmednagar,Semi-Furnished,159.38
292,450,1,1,3,9,2,Nanded,Semi-Furnished,62.0
293,1016,2,1,4,21,0,Pune,Unfurnished,169.11
294,854,1,1,1,17,2,Kolhapur,Furnished,129.63
295,1447,3,3,2,16,0,Nashik,Furnished,156.9
296,1182,2,1,2,10,0,Sangli,Furnished,131.09
297,1361,3,2,1,4,3,Aurangabad,Furnished,148.97
298,1388,3,3,2,25,0,Latur,Semi-Furnished,84.89
299,1804,2,2,1,7,1,Nagpur,Furnished,161.91
300,1091,1,1,4,25,1,Solapur,Semi-Furnished,92.16
301,1632,4,3,2,9,1,Solapur,Semi-Furnished,139.6
302,875,2,1,1,21,2,Beed,Furnished,83.25
303,1328,2,2,4,25,0,Beed,Semi-Furnished,111.98
304,1222,2,1,2,26,1,Solapur,Unfurnished,103.33
305,1292,3,3,2,27,1,Nashik,Semi-Furnished,128.19
306,873,1,1,2,5,2,Jalgaon,Semi-Furnished,98.43
307,1807,3,2,1,19,1,Nanded,Unfurnished,142.07
308,1418,2,1,2,12,0,Nagpur,Semi-Furnished,138.79
309,1565,3,3,2,4,1,Latur,Unfurnished,124.93
310,1874,4,4,1,16,1,Latur,Furnished,150.72
311,608,2,2,3,14,0,Solapur,Unfurnished,74.1
312,847,2,1,1,18,1,Sangli,Furnished,100.12
313,604,1,1,2,7,1,Aurangabad,Semi-Furnished,94.02
314,1338,3,2,1,5,3,Jalgaon,Unfurnished,141.23
315,1644,4,4,1,2,0,Mumbai,Semi-Furnished,294.89
316,1353,2,2,1,8,0,Jalgaon,Semi-Furnished,100.45
317,1288,1,1,2,9,2,Ahmednagar,Unfurnished,116.93
318,1198,1,1,3,22,0,Jalgaon,Unfurnished,70.89
319,1011,1,1,3,21,0,Pune,Semi-Furnished,163.14
320,1867,3,3,1,14,0,Sangli,Semi-Furnished,133.35
321,1579,3,2,1,16,0,Sangli,Unfurnished,129.75
322,961,2,2,1,29,1,Nanded,Furnished,88.38
323,1043,1,1,1,25,1,Ahmednagar,Unfurnished,64.48
324,1144,2,2,3,14,2,Beed,Semi-Furnished,108.09
325,1377,2,1,3,2,0,Amravati,Semi-Furnished,124.22
326,450,1,1,2,14,1,Aurangabad,Unfurnished,79.13
327,925,1,1,3,14,1,Mumbai,Semi-Furnished,240.5
328,1442,3,3,2,3,1,Ahmednagar,Semi-Furnished,124.05
329,1044,2,2,1,25,0,Nagpur,Furnished,128.67
330,1258,3,2,2,6,2,Satara,Furnished,139.53
331,725,1,1,2,29,2,Ahmednagar,Semi-Furnished,77.83
332,1798,4,3,1,2,3,Satara,Unfurnished,148.94
333,1856,3,2,4,2,1,Sangli,Semi-Furnished,160.37
334,1677,2,1,1,15,1,Nagpur,Semi-Furnished,164.78
335,740,2,1,1,20,1,Beed,Unfurnished,56.41
336,624,1,1,1,11,0,Nashik,Unfurnished,96.99
337,1268,3,2,2,30,1,Nagpur,Semi-Furnished,107.02
338,1110,2,2,3,15,0,Beed,Unfurnished,81.83
339,1554,2,1,2,4,1,Solapur,Semi-Furnished,131.03
340,819,1,1,1,21,0,Solapur,Unfurnished,75.13
341,824,2,1,1,21,0,Nashik,Semi-Furnished,108.23
342,1403,3,3,2,19,1,Beed,Unfurnished,106.79
343,1522,3,2,3,18,2,Ahmednagar,Semi-Furnished,154.32
344,1254,2,2,2,3,1,Solapur,Unfurnished,120.56
345,1779,4,4,2,3,0,Mumbai,Unfurnished,302.85
346,1652,3,2,2,21,0,Amravati,Unfurnished,113.08
347,954,2,2,1,24,1,Nagpur,Semi-Furnished,90.59
348,2110,4,3,3,1,0,Jalgaon,Furnished,194.33
349,1572,2,2,1,1,2,Sangli,Semi-Furnished,147.39
350,1384,3,2,2,22,0,Satara,Unfurnished,108.4
351,1176,2,1,2,16,2,Sangli,Unfurnished,107.06
352,1540,3,2,1,10,0,Ahmednagar,Semi-Furnished,129.83
353,1305,3,3,2,1,1,Kolhapur,Unfurnished,127.02
354,1373,2,1,2,0,1,Ahmednagar,Semi-Furnished,130.13
355,1629,4,3,2,19,2,Nashik,Semi-Furnished,186.82
356,793,1,1,2,18,1,Kolhapur,Semi-Furnished,81.95
357,1239,2,1,1,9,1,Solapur,Semi-Furnished,124.59
358,554,1,1,3,6,1,Mumbai,Unfurnished,222.96
359,1271,3,3,3,12,2,Nanded,Semi-Furnished,102.83
360,719,2,1,2,24,1,Kolhapur,Semi-Furnished,89.16
361,809,1,1,4,12,0,Latur,Furnished,79.64
362,2128,3,2,2,16,1,Nagpur,Semi-Furnished,165.32
363,1069,2,1,2,3,1,Kolhapur,Unfurnished,119.44
364,1712,3,2,2,13,0,Ahmednagar,Unfurnished,133.63
365,2137,3,2,3,25,1,Nanded,Unfurnished,141.16
366,1558,3,2,3,22,0,Amravati,Semi-Furnished,126.33
367,2435,5,5,2,0,0,Nashik,Furnished,235.95
368,587,2,1,1,2,0,Aurangabad,Semi-Furnished,90.6
369,1396,3,2,3,21,0,Jalgaon,Furnished,119.16
370,1304,2,1,3,4,2,Jalgaon,Unfurnished,118.56
371,863,2,1,2,5,1,Ahmednagar,Semi-Furnished,94.46
372,1254,3,3,1,13,1,Ahmednagar,Unfurnished,123.28
373,450,1,1,2,7,0,Sangli,Unfurnished,65.67
374,772,2,1,3,10,1,Satara,Unfurnished,104.44
375,1038,3,3,2,3,0,Nanded,Unfurnished,101.27
376,1760,3,2,2,17,2,Latur,Furnished,132.61
377,1695,3,2,2,13,1,Satara,Semi-Furnished,153.46
378,1009,2,2,1,27,2,Pune,Semi-Furnished,168.39
379,1476,1,1,1,15,2,Kolhapur,Semi-Furnished,133.49
380,799,2,1,2,29,1,Kolhapur,Unfurnished,75.46
381,621,1,1,1,9,1,Nanded,Semi-Furnished,61.82
382,1081,2,1,1,20,0,Sangli,Semi-Furnished,112.42
383,450,1,1,1,13,0,Satara,Unfurnished,58.03
384,1102,2,1,3,10,1,Nashik,Semi-Furnished,142.8
385,1314,3,2,1,11,1,Kolhapur,Semi-Furnished,138.66
386,885,1,1,2,8,1,Amravati,Furnished,97.16
387,1201,3,2,2,1,1,Mumbai,Semi-Furnished,247.63
388,1736,3,2,3,8,1,Satara,Semi-Furnished,140.44
389,1158,2,1,3,30,2,Solapur,Unfurnished,90.71
390,1408,2,1,1,4,0,Kolhapur,Semi-Furnished,124.04
391,1467,3,2,3,13,0,Sangli,Furnished,134.56
392,922,1,1,3,6,2,Sangli,Semi-Furnished,134.76
393,1318,2,1,1,29,0,Satara,Furnished,119.56
394,1403,2,2,3,12,2,Sangli,Unfurnished,140.82
395,1222,2,1,3,9,1,Sangli,Semi-Furnished,131.68
396,1181,2,2,2,28,1,Nashik,Semi-Furnished,124.98
397,1282,2,1,1,2,2,Kolhapur,Furnished,145.77
398,1308,2,1,2,21,1,Pune,Unfurnished,164.55
399,1168,2,2,2,28,1,Nanded,Furnished,103.31
400,1431,3,2,3,4,1,Amravati,Unfurnished,127.36
401,1308,2,1,1,1,0,Satara,Unfurnished,113.42
402,1583,2,1,2,0,1,Sangli,Unfurnished,143.92
403,871,2,1,1,21,0,Solapur,Semi-Furnished,87.58
404,1239,3,2,3,3,2,Sangli,Semi-Furnished,113.75
405,647,1,1,1,27,1,Jalgaon,Furnished,69.21
406,1109,3,3,1,22,0,Beed,Furnished,81.55
407,1208,2,2,1,26,1,Nashik,Semi-Furnished,135.03
408,1345,3,3,2,15,0,Solapur,Semi-Furnished,111.85
409,1465,3,2,2,14,1,Aurangabad,Semi-Furnished,135.38
410,1435,3,2,2,1,1,Beed,Furnished,133.35
411,1530,3,2,2,8,3,Amravati,Semi-Furnished,130.5
412,1071,2,1,2,18,0,Pune,Unfurnished,181.76
413,1972,4,4,1,26,1,Satara,Unfurnished,155.04
414,1766,3,2,1,23,0,Amravati,Unfurnished,127.55
415,603,1,1,1,16,0,Pune,Furnished,154.31
416,1304,2,1,1,13,1,Sangli,Furnished,139.96
417,1185,2,1,1,22,2,Nanded,Semi-Furnished,91.23
418,1177,1,1,1,2,2,Amravati,Furnished,133.29
419,995,2,2,2,24,1,Latur,Semi-Furnished,80.5
420,1469,3,2,2,24,1,Satara,Furnished,141.83
421,973,2,2,2,13,0,Latur,Semi-Furnished,89.99
422,1458,3,3,2,7,3,Jalgaon,Semi-Furnished,135.56
423,545,2,1,2,18,0,Kolhapur,Furnished,81.62
424,1411,3,2,2,28,0,Nashik,Semi-Furnished,140.07
425,1434,3,2,4,13,1,Kolhapur,Unfurnished,139.84
426,1170,3,2,1,9,3,Beed,Unfurnished,117.63
427,1752,4,3,2,7,0,Ahmednagar,Unfurnished,157.77
428,917,3,2,1,20,0,Amravati,Unfurnished,81.18
429,1782,3,2,2,11,1,Satara,Unfurnished,159.99
430,710,2,1,2,26,2,Aurangabad,Furnished,97.5
431,806,2,1,1,29,1,Satara,Semi-Furnished,87.58
432,870,3,2,1,23,2,Nagpur,Semi-Furnished,108.33
433,1376,3,3,1,18,1,Amravati,Unfurnished,105.44
434,862,2,1,2,12,0,Satara,Unfurnished,90.72
435,1203,2,1,1,4,1,Beed,Semi-Furnished,92.26
436,1435,3,2,1,17,2,Ahmednagar,Semi-Furnished,124.58
437,1176,3,2,2,4,2,Nagpur,Semi-Furnished,145.21
438,1426,3,2,1,11,1,Beed,Unfurnished,93.9
439,1762,3,2,3,12,1,Nagpur,Furnished,150.59
